candidate_id,family,parent_id
tune_d8cfb3128906,uniform,
tune_1701a7072469,uniform,
tune_c6ad6be8e7d4,uniform,
tune_4013d1d8b354,uniform,
tune_c467f0063423,uniform,
tune_9ba0a4b45e99,uniform,
tune_feb417fae427,uniform,
tune_9e071d9e00d9,uniform,
tune_5d96c5546ec7,uniform,
tune_67fd58b03672,uniform,
tune_31d69b87867f,uniform,
tune_de4a78e98b87,uniform,
tune_5e8e860f1132,uniform,
tune_1c1ecc014c32,uniform,
tune_393db3612ec6,uniform,
tune_a7069a939413,uniform,
tune_30f3fac7f70a,uniform,
tune_c21bfb38deb1,uniform,
tune_4bf642ef1294,uniform,
tune_0aa3ec076c62,uniform,
tune_8829375efb71,uniform,
tune_05f3cdc009e4,uniform,
tune_d985672b9eaa,uniform,
tune_e8a9fe4b6c42,uniform,
tune_5d5429734593,uniform,
tune_81ee6d00b1bc,uniform,
tune_a87b6f2ca4d9,uniform,
tune_2a5a09e802e8,uniform,
tune_37476c735681,uniform,
tune_d60e6b94dc62,uniform,
tune_cf883dfb0787,uniform,
tune_909a2d38a9ce,uniform,
tune_0d07cf616412,uniform,
tune_166e79f73425,uniform,
tune_1174d1ff30e9,uniform,
tune_fbb30b383928,uniform,
tune_38934dd0c75c,uniform,
tune_e93b379bb097,uniform,
tune_31fc72a3b42d,uniform,
tune_a7cbb32a61df,uniform,
tune_811bfb314865,uniform,
tune_41604de3dc2a,uniform,
tune_0341cf71459e,uniform,
tune_78a389d82d41,uniform,
tune_7584881c1c8e,uniform,
tune_75000773a464,uniform,
tune_74898f257caf,uniform,
tune_050d83df1480,uniform,
tune_19587c694f0b,uniform,
tune_04eba6ef9c97,uniform,
tune_2b4aabe09699,uniform,
tune_14e70f9aca04,uniform,
tune_9302e7637319,uniform,
tune_423e58c149cf,uniform,
tune_c79ed94e1c44,uniform,
tune_28ff5c5c6dd6,uniform,
tune_e144398151c8,uniform,
tune_40755b2630e0,uniform,
tune_10e392d8f60c,uniform,
tune_4f58212a05d8,uniform,
tune_f0e4a3984fd5,uniform,
tune_d4e0589bb4d3,uniform,
tune_2d750a55968e,uniform,
tune_5b8776fae6a1,availability,
tune_07d388d3c080,availability,
tune_660c90c52af8,availability,
tune_2eb9920a96b8,availability,
tune_9eb025fec04e,availability,
tune_858b1d758485,availability,
tune_12adc30e0df3,availability,
tune_6bfae34d22ff,availability,
tune_5b023442b23a,availability,
tune_c412f010b93e,availability,
tune_4318551a2590,availability,
tune_4054b2542578,availability,
tune_e0119d71f60b,availability,
tune_5b3c3eafa132,availability,
tune_76c2ec48279d,availability,
tune_96a6c824b6a1,availability,
tune_e0171dc46c59,availability,
tune_bddcd6955d65,availability,
tune_714ea01344f6,availability,
tune_78dde99cd9a3,availability,
tune_6e3fb674df14,availability,
tune_6bd8d42c1a2d,availability,
tune_cb5c7c113cc8,availability,
tune_0d9719a09c9b,availability,
tune_291d84da7fe7,availability,
tune_385279793bee,availability,
tune_f5fb40d2a080,availability,
tune_e6ab73f5fb19,availability,
tune_c5603ca00791,availability,
tune_c88c9745bda6,availability,
tune_f97708f158d6,availability,
tune_b398a3f69499,availability,
tune_afd2ecb73179,availability,
tune_af1129566dcf,availability,
tune_aa7918f56e77,availability,
tune_fe5683cf20b3,availability,
tune_0821d8956502,availability,
tune_c1939a5e7075,availability,
tune_3f7e97a6f794,availability,
tune_1c0a74b93002,availability,
tune_e0c88eeddf07,availability,
tune_bd2663a6464e,availability,
tune_4dd744da05f8,availability,
tune_2aecc9ac9daa,availability,
tune_ef2e988b277e,availability,
tune_63e1c0ec11ab,availability,
tune_ad48f165b366,availability,
tune_5cd3ea2316d7,availability,
tune_1590dd6dc9e2,availability,
tune_cfd89d6b0bfd,availability,
tune_0931f9baa6a9,availability,
tune_be23e41e231e,availability,
tune_c9a037a7909b,availability,
tune_05e49cdd6f50,availability,
tune_4d0a5ba03de8,availability,
tune_fa68ed7f5549,availability,
tune_742dd044cf73,availability,
tune_493cc8c12a4c,availability,
tune_64524f326802,availability,
tune_e9d540819bd6,availability,
tune_71a973411dbd,availability,
tune_586a4e90e8fc,availability,
tune_11f29e9e9a84,availability,
tune_aac75cd1bf84,availability,
tune_10cd3fcd75b5,availability,
tune_02c2ef4a1fc2,availability,
tune_b90db13f808e,availability,
tune_243464ffbdd4,availability,
tune_01f0740f0df4,availability,
tune_de4b4b073cc1,availability,
tune_b778240ea87d,availability,
tune_7408621778af,availability,
tune_65a3d13e71e4,availability,
tune_5ec31d65e313,availability,
tune_64b0a4142926,availability,
tune_452cbae65e9e,availability,
tune_8ea58ccfc4f0,availability,
tune_c4115e093af0,availability,
tune_07cfc8ec077a,availability,
tune_fe4c3f5edf74,availability,
tune_968d23d1b5d8,availability,
tune_f6da71bff793,availability,
tune_242c263d78b6,availability,
tune_74e491f663dd,availability,
tune_5a91a2ccb52a,availability,
tune_c323326c6a51,availability,
tune_1ef3abbee796,availability,
tune_6f09016ead9e,availability,
tune_6351b228f3ab,availability,
tune_a79dc1a44222,availability,
tune_2be247fa4896,availability,
tune_80ac3360f482,availability,
tune_6195fcf796a1,availability,
tune_972e88dd6469,availability,
tune_fd1d40e41576,availability,
tune_9b0753b6814d,availability,
tune_0cc4cc273d09,availability,
tune_c0375f0e71e7,availability,
tune_501d6fbc2ed0,availability,
tune_5afef9eb8e86,availability,
tune_34af7f636b03,availability,
tune_7874e2e40264,availability,
tune_86ab6b4cb097,availability,
tune_f772e95e90e8,availability,
tune_68c6b74e8d29,availability,
tune_ff79f9624eeb,availability,
tune_7175a1c0b14b,availability,
tune_a35def1b35a0,availability,
tune_ca59e35b3b7d,availability,
tune_ed212487cd13,availability,
tune_7142b8637766,availability,
tune_ee5973f9ca64,availability,
tune_fd9dfddc1bc7,availability,
tune_366641672144,availability,
tune_8a3c1a57f4fe,availability,
tune_aeac150dc478,availability,
tune_c7c860283307,availability,
tune_36ccad743e7a,availability,
tune_096f1c233f5c,availability,
tune_7a83fb81975c,availability,
tune_80cf5050b802,availability,
tune_2ed8ad379b15,availability,
tune_e34df2b34a9c,availability,
tune_47b8f8e01a41,availability,
tune_593bb6c20474,availability,
tune_0623510c40c6,availability,
tune_a4b9585fa275,availability,
tune_1c7a177c777e,availability,
tune_7aaa6eca5867,joint_local,tune_d5f4e7219e82
tune_52fd5bf841b6,joint_local,tune_d5f4e7219e82
tune_663ef28253fd,joint_local,tune_d5f4e7219e82
tune_9980e7e5965e,joint_local,tune_d5f4e7219e82
tune_05404485bbea,joint_local,tune_d5f4e7219e82
tune_ed9077403122,joint_local,tune_d5f4e7219e82
tune_7d3300035691,joint_local,tune_d5f4e7219e82
tune_ecda94a09262,joint_local,tune_d5f4e7219e82
tune_9c3bf007b038,joint_local,tune_d5f4e7219e82
tune_ef8cc18c3b6e,joint_local,tune_d5f4e7219e82
tune_381351ea2619,joint_local,tune_d5f4e7219e82
tune_eb30a592a963,joint_local,tune_d5f4e7219e82
tune_3b3286a4c67d,joint_local,tune_d5f4e7219e82
tune_9d7b5173ee87,joint_local,tune_d5f4e7219e82
tune_5d69beb5499b,joint_local,tune_d5f4e7219e82
tune_a07c27e5ba27,joint_local,tune_d5f4e7219e82
tune_cc6847e71321,joint_local,tune_d5f4e7219e82
tune_09cf56020630,joint_local,tune_d5f4e7219e82
tune_d01f4ec76164,joint_local,tune_d5f4e7219e82
tune_759a2d4e2034,joint_local,tune_d5f4e7219e82
tune_50ed647d5ee5,joint_local,tune_d5f4e7219e82
tune_4e02a60adf0d,joint_local,tune_d5f4e7219e82
tune_02962416f661,joint_local,tune_d5f4e7219e82
tune_386135fb6eef,joint_local,tune_d5f4e7219e82
tune_25bcffdb80fd,joint_local,tune_d5f4e7219e82
tune_1052a586c3ff,joint_local,tune_d5f4e7219e82
tune_8314085f3fbd,joint_local,tune_d5f4e7219e82
tune_0778cc369581,joint_local,tune_d5f4e7219e82
tune_bcef8c3339f2,joint_local,tune_d5f4e7219e82
tune_b4db307a15e9,joint_local,tune_d5f4e7219e82
tune_ada403324ddb,joint_local,tune_d5f4e7219e82
tune_efcedf8b5b69,joint_local,tune_d5f4e7219e82
tune_0cad03de62f9,joint_local,tune_d5f4e7219e82
tune_4428e1c57aba,joint_local,tune_d5f4e7219e82
tune_fc83797523ea,joint_local,tune_d5f4e7219e82
tune_235a4f28fc61,joint_local,tune_d5f4e7219e82
tune_3d58fd8fc941,joint_local,tune_53b732ccf2eb
tune_afabf70f72bf,joint_local,tune_53b732ccf2eb
tune_b0bf4ec8f363,joint_local,tune_53b732ccf2eb
tune_cedb98bbd823,joint_local,tune_53b732ccf2eb
tune_aaf0659d5d60,joint_local,tune_53b732ccf2eb
tune_b1f384f7c109,joint_local,tune_53b732ccf2eb
tune_578bf9468775,joint_local,tune_53b732ccf2eb
tune_3e4bcde058b7,joint_local,tune_53b732ccf2eb
tune_04e6b65fdbfc,joint_local,tune_53b732ccf2eb
tune_37254cd2c206,joint_local,tune_53b732ccf2eb
tune_731839248657,joint_local,tune_53b732ccf2eb
tune_81feb56038d2,joint_local,tune_53b732ccf2eb
tune_d47f9068e221,joint_local,tune_53b732ccf2eb
tune_69a689a9787e,joint_local,tune_53b732ccf2eb
tune_45817c25097b,joint_local,tune_53b732ccf2eb
tune_73c0105526bf,joint_local,tune_53b732ccf2eb
tune_fd8ec1eb1cbc,joint_local,tune_53b732ccf2eb
tune_112a790f143d,joint_local,tune_53b732ccf2eb
tune_9797b0e49540,joint_local,tune_53b732ccf2eb
tune_be1c46ff1569,joint_local,tune_53b732ccf2eb
tune_cac2d9d9fb9e,joint_local,tune_53b732ccf2eb
tune_b2bf6e7d7279,joint_local,tune_53b732ccf2eb
tune_a302d6663a01,joint_local,tune_53b732ccf2eb
tune_5f7269ce7bf2,joint_local,tune_53b732ccf2eb
tune_51d5e79a4077,joint_local,tune_53b732ccf2eb
tune_b60d28e406cf,joint_local,tune_53b732ccf2eb
tune_e63579accc42,joint_local,tune_53b732ccf2eb
tune_a2f491711a25,joint_local,tune_53b732ccf2eb
tune_73ef376a85bd,joint_local,tune_53b732ccf2eb
tune_d1644eae4a50,joint_local,tune_53b732ccf2eb
tune_63675e925fb7,joint_local,tune_53b732ccf2eb
tune_e5548212bd87,joint_local,tune_53b732ccf2eb
tune_b36e813b29d5,joint_local,tune_53b732ccf2eb
tune_c6fea38f9675,joint_local,tune_53b732ccf2eb
tune_8f39f23c8718,joint_local,tune_53b732ccf2eb
tune_cd716e6332fe,joint_local,tune_53b732ccf2eb
