treated,control,split,subset,pairs,attempted,pairs_with_dq,median,p25,p10,mean,wins,losses,ties,sign_p,med_ci_lo,med_ci_hi,mean_ci_lo,mean_ci_hi,identical
A11,A0_V3,development,both_measured_pass,12,18,0,0.00736525,-0.00192787,-0.00856887,0.010261,8,4,0,0.387695,-0.00196657,0.01581,-8.5225e-05,0.0219991,False
A11,A0_V3,development,windows_01,8,9,0,0.00649382,-0.00385643,-0.0125052,0.011463,5,3,0,0.726562,-0.00929385,0.0481836,-0.00370881,0.0284962,False
A11,A0_V3,development,windows_07,9,9,0,-0.00188917,-0.0166925,-0.0311099,-0.00821284,4,5,0,1,-0.0207328,0.0133084,-0.0271853,0.00626376,False
A11,A0_V3,validation,both_measured_pass,5,8,0,-0.00825893,-0.0193948,-0.0218648,-0.00418808,2,3,0,1,-0.0235114,0.029805,-0.0188143,0.014088,False
A11,A0_V3,validation,windows_01,4,4,0,-0.0138268,-0.0204239,-0.0222764,-0.0102444,1,3,0,0.625,-0.0235114,0.0101875,-0.0214531,0.00279191,False
A11,A0_V3,validation,windows_07,3,4,0,0.000419703,-0.0110875,-0.0179918,0.00254333,2,1,0,1,-0.0225947,0.029805,-0.0225947,0.029805,False
A11,A0_V3,historical_holdout,both_measured_pass,2,4,0,0.0245422,-0.0188249,-0.0448452,0.0245422,1,1,0,1,-0.062192,0.111276,-0.062192,0.111276,False
A11,A0_V3,historical_holdout,windows_01,1,2,0,-0.062192,-0.062192,-0.062192,-0.062192,0,1,0,1,,,,,False
A11,A0_V3,historical_holdout,windows_07,2,2,0,0.0449452,0.0117796,-0.00811981,0.0449452,1,1,0,1,-0.0213861,0.111276,-0.0213861,0.111276,False
A11,A0_V3,core_all,both_measured_pass,19,30,0,0.00433449,-0.00877639,-0.0207009,0.0079619,11,8,0,0.647606,-0.00825893,0.0130329,-0.0066397,0.0241613,False
A11,A0_V3,core_all,windows_01,13,15,0,-0.00204396,-0.0193948,-0.0228088,-0.000882004,6,7,0,1,-0.0193948,0.0101875,-0.0164498,0.0144749,False
A11,A0_V3,core_all,windows_07,14,15,0,-0.000734735,-0.0197228,-0.0222321,0.00168606,7,7,0,1,-0.0190393,0.0131945,-0.0173624,0.0231853,False
D13,A0_V3,development,both_measured_pass,11,18,0,0.0133506,0.00237089,8.64648e-05,0.0140193,10,1,0,0.0117188,9.85419e-05,0.0250311,0.00687317,0.0211653,False
D13,A0_V3,development,windows_01,8,9,0,0.0126094,9.55226e-05,-0.000780466,0.0132972,7,1,0,0.0703125,8.64648e-05,0.0286908,0.00412869,0.0226911,False
D13,A0_V3,development,windows_07,9,9,0,0.000137715,-0.0221413,-0.0471878,-0.0130884,5,4,0,1,-0.0286965,0.0152542,-0.0434736,0.00901016,False
D13,A0_V3,validation,both_measured_pass,6,8,0,-0.00665175,-0.0317585,-0.0436048,-0.0109062,3,3,0,1,-0.0436048,0.017538,-0.0325912,0.00948256,False
D13,A0_V3,validation,windows_01,4,4,0,0.00322696,-0.0259963,-0.0408646,-0.0047992,2,2,0,1,-0.0507769,0.0251262,-0.0342565,0.0246581,False
D13,A0_V3,validation,windows_07,3,4,0,0.00443266,-0.016,-0.0282596,-0.00703801,2,1,0,1,-0.0364327,0.010886,-0.0364327,0.010886,False
D13,A0_V3,historical_holdout,both_measured_pass,2,4,0,0.00247791,-0.0493941,-0.0805172,0.00247791,1,1,0,1,-0.101266,0.106222,-0.101266,0.106222,False
D13,A0_V3,historical_holdout,windows_01,1,2,0,-0.101266,-0.101266,-0.101266,-0.101266,0,1,0,1,,,,,False
D13,A0_V3,historical_holdout,windows_07,2,2,0,0.0366906,0.00192501,-0.0189344,0.0366906,1,1,0,1,-0.0328406,0.106222,-0.0328406,0.106222,False
D13,A0_V3,core_all,both_measured_pass,19,30,0,0.00945272,-0.00135842,-0.0393015,0.00493319,14,5,0,0.0635681,8.64648e-05,0.0214752,-0.0136253,0.0227219,False
D13,A0_V3,core_all,windows_01,13,15,0,0.00464325,-0.0028033,-0.0441687,-0.00108349,9,4,0,0.266846,-0.0028033,0.0241901,-0.0230213,0.0160613,False
D13,A0_V3,core_all,windows_07,14,15,0,0.00228519,-0.0270577,-0.035355,-0.00468058,8,6,0,0.790527,-0.0274909,0.0130701,-0.0298744,0.0200202,False
D13,A11,development,both_measured_pass,12,18,0,0.00646723,-0.00319497,-0.018399,0.00312276,8,4,0,0.387695,-0.00498152,0.0157404,-0.00566012,0.0108071,False
D13,A11,development,windows_01,9,9,0,0.00668721,-0.00855461,-0.0210663,0.0026878,6,3,0,0.507812,-0.0194928,0.0200848,-0.00848581,0.0128165,False
D13,A11,development,windows_07,9,9,0,0.00252404,-0.012004,-0.0275784,-0.00487553,5,4,0,1,-0.0223392,0.00874671,-0.0182114,0.00596805,False
D13,A11,validation,both_measured_pass,7,8,0,0.00577527,-0.00745304,-0.0239043,0.00263298,5,2,0,0.453125,-0.018919,0.0149387,-0.0126519,0.0166398,False
D13,A11,validation,windows_01,4,4,0,0.010357,-0.00351407,-0.0202349,0.00544521,3,1,0,0.625,-0.0313821,0.032449,-0.0198019,0.0257806,False
D13,A11,validation,windows_07,4,4,0,-0.00491249,-0.0151082,-0.0173947,-0.00429699,2,2,0,1,-0.018919,0.0115561,-0.0163785,0.00778451,False
D13,A11,historical_holdout,both_measured_pass,3,4,0,-0.00505462,-0.0220643,-0.0322701,-0.00557771,1,2,0,1,-0.039074,0.0273955,-0.039074,0.0273955,False
D13,A11,historical_holdout,windows_01,2,2,0,-0.00583925,-0.0224566,-0.0324271,-0.00583925,1,1,0,1,-0.039074,0.0273955,-0.039074,0.0273955,False
D13,A11,historical_holdout,windows_07,2,2,0,-0.00825458,-0.00985456,-0.0108145,-0.00825458,0,2,0,0.5,-0.0114545,-0.00505462,-0.0114545,-0.00505462,False
D13,A11,core_all,both_measured_pass,22,30,0,0.00610958,-0.00767961,-0.0265736,0.00178049,14,8,0,0.286279,-0.00498152,0.0133979,-0.0063091,0.00935293,False
D13,A11,core_all,windows_01,15,15,0,0.00668721,-0.0140237,-0.0297734,0.00228617,10,5,0,0.301758,-0.00855461,0.0162411,-0.00905128,0.0127671,False
D13,A11,core_all,windows_07,15,15,0,-0.00140843,-0.012921,-0.0209711,-0.00517179,7,8,0,1,-0.0138379,0.0064439,-0.0138756,0.00234931,False
D13,M00,development,both_measured_pass,12,18,0,0.00832276,0.00208651,-0.0114542,0.00914378,9,3,0,0.145996,-8.88372e-05,0.0241658,2.44429e-05,0.017767,False
D13,M00,development,windows_01,9,9,0,0.0184784,0.00826826,-0.0144872,0.0116396,7,2,0,0.179688,-0.0122336,0.0274546,-0.000716196,0.0221936,False
D13,M00,development,windows_07,9,9,0,-0.0108246,-0.0186721,-0.0451832,-0.0149733,3,6,0,0.507812,-0.0357267,0.00514675,-0.0353739,0.00155584,False
D13,M00,validation,both_measured_pass,8,8,0,0.00348747,-0.00195572,-0.00929794,0.0107825,4,4,0,1,-0.00271723,0.0392105,-0.004,0.0255638,False
D13,M00,validation,windows_01,4,4,0,-0.00109815,-0.00743965,-0.0177676,0.000421786,1,3,0,0.625,-0.0246529,0.0285364,-0.0186133,0.0209768,False
D13,M00,validation,windows_07,4,4,0,0.0233399,0.00492271,0.000338748,0.0211433,3,1,0,0.625,-0.00271723,0.0406105,0.00237606,0.0399105,False
D13,M00,historical_holdout,both_measured_pass,3,4,0,-0.00863149,-0.031203,-0.0447459,-0.0122266,1,2,0,1,-0.0537745,0.0257264,-0.0537745,0.0257264,False
D13,M00,historical_holdout,windows_01,2,2,0,-0.0140241,-0.0338993,-0.0458244,-0.0140241,1,1,0,1,-0.0537745,0.0257264,-0.0537745,0.0257264,False
D13,M00,historical_holdout,windows_07,2,2,0,-0.0269851,-0.0361619,-0.041668,-0.0269851,0,2,0,0.5,-0.0453388,-0.00863149,-0.0453388,-0.00863149,False
D13,M00,core_all,both_measured_pass,23,30,0,0.00746936,-0.00357838,-0.021248,0.00692635,14,9,0,0.404873,-0.00172727,0.0231131,-0.00229357,0.0156852,False
D13,M00,core_all,windows_01,15,15,0,0.00837725,-0.00696773,-0.0241924,0.00522635,9,6,0,0.607239,-0.0122336,0.0252186,-0.00787626,0.016479,False
D13,M00,core_all,windows_07,15,15,0,-0.00443953,-0.0165401,-0.0414939,-0.00694377,6,9,0,0.607239,-0.014408,0.00514675,-0.0232179,0.00812826,False
A11,M00,development,both_measured_pass,11,18,0,0.00253523,-0.00413036,-0.0109779,0.00755249,7,4,0,0.548828,-0.00696356,0.0270331,-0.0068283,0.0209269,False
A11,M00,development,windows_01,9,9,0,0.0112135,0.00177771,-0.0261173,0.00895178,7,2,0,0.179688,-0.02175,0.0357376,-0.00929296,0.0252672,False
A11,M00,development,windows_07,9,9,0,-0.00696356,-0.0231548,-0.0362151,-0.0100977,3,6,0,0.507812,-0.0344742,0.00366712,-0.0229225,0.00263834,False
A11,M00,validation,both_measured_pass,7,8,0,0.00672917,-0.00509115,-0.010418,0.0100781,4,3,0,1,-0.00626969,0.0276544,-0.00373926,0.0237009,False
A11,M00,validation,windows_01,4,4,0,-0.00509115,-0.00886241,-0.0135293,-0.00502343,1,3,0,0.625,-0.0166406,0.00672917,-0.0134586,0.00347945,False
A11,M00,validation,windows_07,4,4,0,0.0270214,0.0225715,0.015701,0.0254403,4,0,0,0.125,0.0111207,0.0365976,0.0152541,0.0340453,False
A11,M00,historical_holdout,both_measured_pass,4,4,0,-0.00913869,-0.0194964,-0.0281291,-0.0134577,0,4,0,0.125,-0.0338842,-0.00166915,-0.0263074,-0.00262301,False
A11,M00,historical_holdout,windows_01,2,2,0,-0.00818483,-0.0114427,-0.0133974,-0.00818483,0,2,0,0.5,-0.0147005,-0.00166915,-0.0147005,-0.00166915,False
A11,M00,historical_holdout,windows_07,2,2,0,-0.0187305,-0.0263074,-0.0308535,-0.0187305,0,2,0,0.5,-0.0338842,-0.00357687,-0.0338842,-0.00357687,False
A11,M00,core_all,both_measured_pass,22,30,0,0.000240279,-0.0067901,-0.0164466,0.00453606,11,11,0,1,-0.00543808,0.0188009,-0.00462453,0.0139705,False
A11,M00,core_all,windows_01,15,15,0,0.00177771,-0.0104851,-0.0197062,0.00294018,8,7,0,1,-0.0147005,0.0112135,-0.00834069,0.0143218,False
A11,M00,core_all,windows_07,15,15,0,-0.00129715,-0.0170663,-0.0342382,-0.00177198,7,8,0,1,-0.0231548,0.0243204,-0.0139199,0.0100236,False
